Week,Day,Group,Pre,Main_Workout,Post,Miles,Notes
12,Mon,Gold,Dynamics,8mi easy,Strides (3200/1600/800) + Weight Room,8,School schedule adjustment
12,Mon,Green,Dynamics,6.5mi easy,Strides + Weight Room,6.5,
12,Mon,White,Dynamics,4.5mi easy,Strides,4.5,
12,Mon,Freshman,Dynamics,2mi easy,Drills,2,
12,Tue,Gold,Dynamics,3mi@T - 2min - 1mi@T + 6x200m@R,Strides,8,See workout groups
12,Tue,Green,Dynamics,2mi@T - 2min - 1mi@T + 6x200m@R,Strides,6,
12,Tue,White,Dynamics,1mi@T - 2min - 1mi@T + 4x200m@R,Strides,5,
12,Tue,Freshman,Dynamics,4x(1:00 on/4:00 off),Strides,4,
12,Wed,Gold,,6.5mi easy,Mobility A,6.5,
12,Wed,Green,,5mi easy,Mobility A,5,
12,Wed,White,,3.5mi easy,Mobility A,3.5,
12,Wed,Freshman,,2.5mi easy,Mobility A,2.5,
12,Thu,Gold,Dynamics,Hill Repeats - Trail Loop + 4 reps,Mobility B + Strength B,8,
12,Thu,Green,Dynamics,Hill Repeats - Trail Loop + 3 reps,Mobility B + Strength B,6,
12,Thu,White,Dynamics,Hill Repeats - 4 reps,Mobility B + Strength B,5,
12,Thu,Freshman,Dynamics,Hill Introduction - 3 reps,Drills,4,
12,Fri,Gold,,6.5mi easy,Mobility A,6.5,
12,Fri,Green,,5mi easy,Mobility A,5,
12,Fri,White,,4mi easy,Mobility A,4,
12,Fri,Freshman,,3mi easy,Drills,3,
12,Sat,Gold,Dynamics,Long Run 10mi,Mobility A,10,
12,Sat,Green,Dynamics,Long Run 8mi,Mobility A,8,
12,Sat,White,Dynamics,Long Run 6mi,Mobility A,6,
12,Sat,Freshman,Dynamics,Long Run 4mi,Drills,4,
12,Sun,Gold,,8mi easy,,8,
12,Sun,Green,,6.5mi easy,,6.5,
12,Sun,White,,5.5mi easy,,5.5,
12,Sun,Freshman,,REST,,0,